0,25-EC,26-EC,27-EC,34-EC,35-EC,36-EC,63-EC,64-EC,65-EC,67-EC,8--EC,9--EC,mean
2020-12-02 17:10:00,0.0,0.0,0.0,0.0,0.0,0.0,27.5,0.0,804.5,0.0,0.0,0.0,69.33333333333333
2020-12-02 17:20:00,0.0,0.0,0.0,0.0,0.0,0.0,291.6,0.0,668.5,0.0,0.0,0.0,80.00833333333334
2020-12-02 17:30:00,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,264.0,0.0,0.0,0.0,35.416666666666664
2020-12-02 17:40:00,0.0,0.0,0.0,0.0,0.0,0.0,212.75,0.0,504.8,0.0,0.0,0.0,59.79583333333333
2020-12-02 17:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,499.75,0.0,0.0,0.0,41.645833333333336
2020-12-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,295.4,0.0,335.0,0.0,0.0,0.0,52.53333333333333
2020-12-02 18:10:00,0.0,0.0,0.0,0.0,0.0,0.0,373.0,0.0,372.4,0.0,0.0,0.0,62.11666666666667
2020-12-02 18:20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.5,0.0,0.0,0.0,43.625
2020-12-02 18:30:00,0.0,0.0,0.0,0.0,0.0,0.0,309.6,0.0,261.75,0.0,0.0,0.0,47.612500000000004
2020-12-02 18:40:00,0.0,0.0,0.0,0.0,0.0,0.0,405.75,0.0,391.8,0.0,0.0,0.0,66.46249999999999
2020-12-02 18:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.5,0.0,0.0,0.0,26.208333333333332
2020-12-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,370.4,0.0,485.25,0.0,0.0,0.0,71.30416666666666
2020-12-02 19:10:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.25,0.0,0.0,0.0,19.4375
2020-12-02 19:20:00,0.0,0.0,0.0,0.0,0.0,0.0,404.5,0.0,385.2,0.0,0.0,0.0,65.80833333333334
2020-12-02 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,442.5,0.0,240.75,0.0,0.0,0.0,56.9375
2020-12-02 19:40:00,0.0,0.0,0.0,0.0,0.0,0.0,344.6,0.0,230.25,0.0,0.0,0.0,47.90416666666667
2020-12-02 19:50:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.8,0.0,0.0,0.0,31.316666666666666
2020-12-02 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,469.5,0.0,221.5,0.0,0.0,0.0,57.583333333333336
2020-12-02 20:10:00,0.0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,226.75,0.0,0.0,0.0,50.229166666666664
2020-12-02 20:20:00,0.0,0.0,0.0,0.0,0.0,0.0,544.0,0.0,186.4,0.0,0.0,0.0,60.86666666666667
2020-12-02 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,534.5,0.0,255.25,0.0,0.0,0.0,65.8125
2020-12-02 20:40:00,0.0,0.0,0.0,0.0,0.0,0.0,929.4,0.0,227.5,0.0,0.0,0.0,96.40833333333335
2020-12-02 20:50:00,0.0,0.0,0.0,0.0,0.0,0.0,563.0,0.0,238.75,0.0,0.0,0.0,66.8125
